Date,ETH paid,USD value of ETH paid,Payer,Beneficiary,Transaction hash
03 Dec 2024 01:21:35 GMT,0.1,364.376,0x9943d85728f6263ae1914d886422a2a4c936415a,0x9943d85728f6263ae1914d886422a2a4c936415a,0x5a2b392a598cdac423015cfa8b45cbd8cd84381510f3582fcf2cccdff2830fd6
03 Dec 2024 01:12:23 GMT,0.1,364.376,0x2a95845f384a50ff6f2f8dda19e858410870cdbb,0x2a95845f384a50ff6f2f8dda19e858410870cdbb,0x0627ba7d0bb63fd63bc3d9a439fcb2df6e847afb28341634e981bb071743e3d7
03 Dec 2024 01:06:23 GMT,0.056,204.05056,0x03dec77f5ecfe329dbbabe0dd092b1f9fc32bb4e,0x03dec77f5ecfe329dbbabe0dd092b1f9fc32bb4e,0xecbebe810814ecc1a89b196a4f3a994f7492ad11967fbc58f811e17db9e3af2c
03 Dec 2024 01:01:11 GMT,1,3643.76,0xb1feeafeec3a2e8758723a64e4387ece2175fc04,0xb1feeafeec3a2e8758723a64e4387ece2175fc04,0xd022849dee1085cbf76f337ae7283e462ab268b038d911f99aac0bd40183d4ab
03 Dec 2024 00:59:35 GMT,0.1667,607.414792,0x8c6eaf2579bb4e268e044356017466a958de20e9,0x8c6eaf2579bb4e268e044356017466a958de20e9,0xc37904fed78fd77965f8e96f96a45c7c5fb4558a9ce491b808a310850ca76991
03 Dec 2024 00:57:59 GMT,0.5,1821.88,0x7ba318c104a0c903742c3f960df7dc1a50ac6ffe,0x7ba318c104a0c903742c3f960df7dc1a50ac6ffe,0x97773aae28dc98bf83341fa0ce56a955da426960f673c60fb6652463afd21057
03 Dec 2024 00:57:11 GMT,0.7917,2884.764792,0xfa0b79f1b7830c6480da40c7a5c54359e2a3f72f,0xfa0b79f1b7830c6480da40c7a5c54359e2a3f72f,0x79e09d6ad9489249cbc8cb1580be78080e162147f4fdefc5ec4b5777549303d7
03 Dec 2024 00:52:11 GMT,0.5,1821.88,0x8b02458463fce915a5a86fd23eb202fe9027d4ad,0x8b02458463fce915a5a86fd23eb202fe9027d4ad,0x8c1ab692f70b150202d64ea1d4df214c3d1c8c263c0e882d9f6e39277f57747f
03 Dec 2024 00:49:59 GMT,0.25,910.94,0xfa0b79f1b7830c6480da40c7a5c54359e2a3f72f,0xfa0b79f1b7830c6480da40c7a5c54359e2a3f72f,0xc81a3c5b811e3d792d9c7a7041b786f4184cde88785c9d1b4220223bf64910bb
03 Dec 2024 00:47:47 GMT,0.6,2174.98137,0x9dd87184d2b4945437c2671a277cab687bd8ab47,0x9dd87184d2b4945437c2671a277cab687bd8ab47,0xd139b2b736fdf1d0fde1f2d75bc779786691f1278f93b457f5a5137a938b8d58
03 Dec 2024 00:47:11 GMT,0.0417,151.161205215,0x8c6eaf2579bb4e268e044356017466a958de20e9,0x8c6eaf2579bb4e268e044356017466a958de20e9,0xa115d81ee1a622c9ab58cf86b53e5426741ae7025565749db030a428d607b121
03 Dec 2024 00:47:11 GMT,0.1,362.496895,0x27b0b4033b6bdcdf12c8d4b86969e3aee53ca107,0x27b0b4033b6bdcdf12c8d4b86969e3aee53ca107,0x48835396352c92da44955b85a9fabfd92c0cde03a4bae20373d52d7051854d36
03 Dec 2024 00:42:47 GMT,0.9,3262.472055,0x4c55c41bd839b3552fb2abecacfdf4a5d2879cb9,0x4c55c41bd839b3552fb2abecacfdf4a5d2879cb9,0x236c3d8e0f1801a413deb1709550d2b62c63af04e151cd6dc42a3a9223dea33f
03 Dec 2024 00:42:23 GMT,0.2,724.99379,0x326bb20f8f6e4595f7a88ecba9c948a57060dcda,0x326bb20f8f6e4595f7a88ecba9c948a57060dcda,0x75107e343d1245dfcf1d489f5190eb09895d8ea6cc42b54ccb81275033322d87
03 Dec 2024 00:41:11 GMT,0.3,1087.490685,0xb45b299b2af524a86687f0484e07d6a06b27d4a4,0xb45b299b2af524a86687f0484e07d6a06b27d4a4,0xfa7b51b07579768982910068cc694a9f1dff52030455ada1470c4ff97b481036
03 Dec 2024 00:38:59 GMT,0.18,652.494411,0xd31aeeb02e91501c558355249472d62e620dedf0,0xd31aeeb02e91501c558355249472d62e620dedf0,0xa9b52531e2fb52de4c29024b825896713bf86adee87f8030fd9dded7e9e4a977
03 Dec 2024 00:37:59 GMT,1,3624.96895,0x66666f3364cf650699299f08e37b5d5cedae6d29,0x66666f3364cf650699299f08e37b5d5cedae6d29,0xadda9dbf096be80ecbe5ea4d32659703d48730d5f2e646cdd9ee9927ab19888c
03 Dec 2024 00:36:59 GMT,0.3,1087.490685,0xe7a8a504a82f0a829656261a54d0443f85e19604,0xe7a8a504a82f0a829656261a54d0443f85e19604,0x13202bbb25709969a202040e574cfe4ac416e05af89fe73861180b04b1d01c52
03 Dec 2024 00:36:47 GMT,0.1,362.496895,0x290f21d529e735780ce0184c12baf9af1fbb2d37,0x290f21d529e735780ce0184c12baf9af1fbb2d37,0x4e0f4bb73d66fd391aae06837d5690fb215135012817360672bcd51b59be2a33
03 Dec 2024 00:34:47 GMT,0.25,906.2422375,0xc19ae874a342e2056cde061e21f498f0351968fa,0xc19ae874a342e2056cde061e21f498f0351968fa,0x21dddd4f5ad2d17c53acf2ff5fc0160612a353b9e4009fc8453b5b6b05d437fc
03 Dec 2024 00:22:59 GMT,0.5,1822.26755,0x68236e5032c51022fc73d607ff5b81b969a95de1,0x68236e5032c51022fc73d607ff5b81b969a95de1,0x35273104f82d7675576f2bded525aec5e8863a2de8584778c91f066d4f6176a6
03 Dec 2024 00:19:47 GMT,2.4,8746.88424,0x80c751e1d11014e4e334e443c49adc3e446fb7d8,0x80c751e1d11014e4e334e443c49adc3e446fb7d8,0xd577daf9cc8a430e5788cc1e3ec7e6cda7f6f0be71ccfc3020895e8e00f9dda0
02 Dec 2024 23:41:59 GMT,0.3,1087.485,0xf4c907b1350ce60a67039010563ebfda4ca0fc39,0xf4c907b1350ce60a67039010563ebfda4ca0fc39,0xbfd9779ecf4d859cac788ab377deb5a87a1500bfa6e639c3227cd197f8c1f93b
02 Dec 2024 23:37:11 GMT,0.2,724.99,0x26971f45360b63da09b0756ead2bad921b383d90,0x26971f45360b63da09b0756ead2bad921b383d90,0xc5983352336931a5746b0420a5432c4a341748eae5688356f7c04974efcc7ce0
02 Dec 2024 23:30:47 GMT,0.25,906.2375,0x64977acf5dec2754d59f7fa7ae96ce564d969b85,0x64977acf5dec2754d59f7fa7ae96ce564d969b85,0x21d6209d783775327c3258b63774763ef92e43646664c2936fffc13b18c729fe
02 Dec 2024 22:58:35 GMT,0.72,2596.53732408,0x48de11dd8c1c1d68a874cc555d2bfdb1d5b23cad,0x48de11dd8c1c1d68a874cc555d2bfdb1d5b23cad,0xc0612dee7ec11476da0ac50af27b4aa511bdf56738d88fb12799cc073f485f00
02 Dec 2024 22:52:59 GMT,0.1,360.6301839,0xa953751fe125b5efc3d3f97feea745c466259470,0xa953751fe125b5efc3d3f97feea745c466259470,0x471c79eed927c97f7c19e58ecac47b72d4f6ce93e6f6296e7b9094a4eadb8c5c
02 Dec 2024 22:42:47 GMT,0.3,1081.8905517,0x2e17fbd1350aeb33279d64c306ec589fd72495b1,0x2e17fbd1350aeb33279d64c306ec589fd72495b1,0xf7816dd20c6e199cdce010eb733e6d97d02b82b7c617960603e2cb2573065afe
02 Dec 2024 22:37:47 GMT,0.29,1045.82753331,0x2e17fbd1350aeb33279d64c306ec589fd72495b1,0x2e17fbd1350aeb33279d64c306ec589fd72495b1,0x60b6f70a0943477405e10c6b857d46a0dbf6ec08f27db796faaeaf6c753b5c0c
02 Dec 2024 22:36:23 GMT,0.34,1226.14262526,0x0da216defe75a1dc624d364d49ff83be8e9a22fb,0x0da216defe75a1dc624d364d49ff83be8e9a22fb,0xc27d5b4516df27de5faf1e89d9847aa50a0280a1a9cd23f0c4c3fbcecea8dccd
02 Dec 2024 22:28:23 GMT,1.7,6130.7131263,0x8f2cf6a29daeccd027201806f26a76c590177594,0x8f2cf6a29daeccd027201806f26a76c590177594,0x6aee7b2527f3cbc1a2ef83afb998f8e5b1dbd17d4c0fae5cfd65e1f7ef8c54bc
02 Dec 2024 22:10:59 GMT,0.05,180.31509195,0x42c1f5feb9f14bfd20d60c4d449e3a354c7d25af,0x42c1f5feb9f14bfd20d60c4d449e3a354c7d25af,0xc8de80cc7a68af601483e2806c018f7655ee66bce4f7495e7dc83fd849a356b3
02 Dec 2024 22:08:11 GMT,0.1,360.6301839,0xaac581b147052de6fed2b6e664f380d41dbfaf68,0xaac581b147052de6fed2b6e664f380d41dbfaf68,0x510c8135b641a1ee1569c6e158e70df358af4d32d0fcae18f0e1b6cbd2d4b97d
02 Dec 2024 21:57:23 GMT,0.22,797.8322,0xbd9dc4a5419f66e7accb94d6c3d9677c81508212,0xbd9dc4a5419f66e7accb94d6c3d9677c81508212,0xafc6050f4b2fdd987ef84486cbc0f461421b6076c4006991440dc7ba9d1dc188
02 Dec 2024 21:51:59 GMT,0.65,2357.2315,0xa87db0cd2c9e01bcd623a660597e9628ae8ac19c,0xa87db0cd2c9e01bcd623a660597e9628ae8ac19c,0x22a71f833b4aa71cb66fef614ee64e9a1c88929dac099278dfd0a9bb545bb874
02 Dec 2024 21:14:59 GMT,1,3607.6,0x995d1256bb6a9a07d994e7e9f74683163c3f8339,0x995d1256bb6a9a07d994e7e9f74683163c3f8339,0xfcb2fc211a2231a1c39f36a2bd03827691f6db7804ec6412933243689d55ae00
