Date,ETH paid,USD value of ETH paid,Payer,Beneficiary,Transaction hash
13 Jan 2024 22:09:11 GMT,3,7711.83,0x49c6fb6cbe27ce0e773b85840cb072791368e5bb,0x49c6fb6cbe27ce0e773b85840cb072791368e5bb,0x755b5f117f9ada59d5fbad88abcac35ce0d456779a2b72ae377312ef0be1e87c
13 Jan 2024 20:56:11 GMT,2,5152.71216302,0x3dac271d1b36a434880c527a678b6487ac9c1f8c,0x3dac271d1b36a434880c527a678b6487ac9c1f8c,0xe9152f78f2aa7f327e6aa2e9a6534a301aae6dcbe9913c0487f8312c0c338afb
13 Jan 2024 19:20:59 GMT,5,12814.6220937,0xd373e26e2b719727d888ba521c05f39e56dc592b,0xd373e26e2b719727d888ba521c05f39e56dc592b,0x8e6e0e8c93bd0181c19708b5fa8210127378dc8f2632b9d3a38c019d78069de3
13 Jan 2024 19:06:35 GMT,1,2562.92441874,0x037f3083916102aa4a7d479e73285bb4cfb46ae7,0x037f3083916102aa4a7d479e73285bb4cfb46ae7,0xa4ce67380218b6c9b9ff908458b5475865b8f3e151ee93de85a63813daca4da2
13 Jan 2024 17:19:23 GMT,0.1,255.856007,0xa7e6f51af4fbd7d1f4d95764bbc965cec4ad5b91,0xa7e6f51af4fbd7d1f4d95764bbc965cec4ad5b91,0x9ec2148e5f90844470f4f0c61d30055dd28b896876050a629a39aa0243684c03
13 Jan 2024 16:40:35 GMT,1,2569.51,0xf01adf04216c35448456fdaa6bbfff4055527dd1,0xf01adf04216c35448456fdaa6bbfff4055527dd1,0xd36d0ca215a49b8c2f0d75e30de649bb0fee2549a1bf81ad3b4180f0ba8aa291
13 Jan 2024 14:27:11 GMT,5.91,15013.6137710505,0x78ad05a3cc5fd5605707bb61937ef0440f1c66dc,0x78ad05a3cc5fd5605707bb61937ef0440f1c66dc,0x2c8fb72b5efba60f38d51885acaf64afd4ddd8a69efea22f482d0f73c91dff6f
13 Jan 2024 12:12:23 GMT,0.16,406.7862146912,0x5616954ecf4a6a21a2f5eb3c11ba78ccfd9f795b,0x5616954ecf4a6a21a2f5eb3c11ba78ccfd9f795b,0x601c45592b8c7f059060b6a688e2cd438e1bdea2bff6297152ac04a763dbd94b
13 Jan 2024 09:50:47 GMT,0.02,51.0379566356,0xc8ac2b0fb8d2280c1da28f97a5fc702165db006d,0xc8ac2b0fb8d2280c1da28f97a5fc702165db006d,0x054be5489866f1ff90e946cf57b7e4b461733fcd65086faa483e39db7da5f62b
13 Jan 2024 02:53:11 GMT,0.32,816.2208,0x11c46dd63d74d30c5fd19a3f4fc655c774b353ec,0x11c46dd63d74d30c5fd19a3f4fc655c774b353ec,0x6aaeef9a10fae130a618709ffcda25ba6315302eb005f14c37f96d73cffaa3ee
13 Jan 2024 00:19:11 GMT,1,2526.12,0x30f650b69e0816658a7dfb6f2d2b45fb0e895c15,0x30f650b69e0816658a7dfb6f2d2b45fb0e895c15,0xa1943c77674b4705af90e7b2219f5bea8373c9a770a2cb8296870fa3211254f0
12 Jan 2024 23:22:23 GMT,0.5,1258.345,0xb27098da73c02b90e83d4f7dd8ca8444f6a497b8,0xb27098da73c02b90e83d4f7dd8ca8444f6a497b8,0x2155c212b607dac37a37e9dbdd921f449f370da099a45ba0133895955bbd9055
12 Jan 2024 22:12:47 GMT,0.5,1257.145602,0x6465e80381dfab18f4887cf051208dfda84ea6df,0x6465e80381dfab18f4887cf051208dfda84ea6df,0xc29dd4da5441fa1368b8b86c40c83d765c21bd1f83c920586331e0bbcf51bac7
12 Jan 2024 18:09:59 GMT,1,2599,0xaf3e28efedd472daec225ea8588753904c43d244,0xaf3e28efedd472daec225ea8588753904c43d244,0x561029ee2cef7594a4515bb126525146bc61323debf993017456803c682ca22a
12 Jan 2024 14:13:35 GMT,0.081,216.61831258578,0x6ee34218e30bffb843f787359d95ef8ad4689574,0x6ee34218e30bffb843f787359d95ef8ad4689574,0x4dece25a5ee017d7363812aea3b5e4e9f1f5d795b5a58fe5e6186b3c66d4b23e
12 Jan 2024 13:55:59 GMT,4.51,12061.0937007638,0x44eaaae41355581c81eb5ce785a4452ed554c0f2,0x44eaaae41355581c81eb5ce785a4452ed554c0f2,0x4d0aeb3c84c4fb01b6f2b6eb83b2d55df683f163f5605c7e4a3911587919e305
12 Jan 2024 12:26:11 GMT,1,2677.59655245,0x3ddba0fd2ce99a0700cc5ab708684c8a5f64c11b,0x3ddba0fd2ce99a0700cc5ab708684c8a5f64c11b,0x458ef04b2805bdf80a30bfcf03d4cc1e081933e5cdc9d17284485e6fbe378f5b
12 Jan 2024 12:03:47 GMT,0.05,132.4905,0x9230032b36004b5e1eea53fca0cd7b7358855802,0x9230032b36004b5e1eea53fca0cd7b7358855802,0xb5b2ddcf07365c72623546a81624db8c7f542842bd2eb648e38a28c9081ef181
12 Jan 2024 09:44:35 GMT,0.2,520.32,0x5701068ca0ba0338a5b64e8f59d5ae661e9ecfc0,0x5701068ca0ba0338a5b64e8f59d5ae661e9ecfc0,0xd14ba0ab0a799635d927363ba777c53102a310037ace487b7574f9ed1d301acb
12 Jan 2024 09:34:35 GMT,3.8,9886.08,0xb0e3627da5d8f2202ec44f062827107a9c2522ce,0xb0e3627da5d8f2202ec44f062827107a9c2522ce,0xb302b2046f9f570d05665e1ff627d1bf169d779fd160c7c950609d6d9d58e361
12 Jan 2024 09:11:47 GMT,0.98,2549.6551445596,0x5fc815a6977b80dcad9fed309b00d6f8eeb8be8e,0x5fc815a6977b80dcad9fed309b00d6f8eeb8be8e,0x792be91f7fae474d1284a2694cd66060ced476913d1cc75fa25a1d460e19f85f
12 Jan 2024 05:28:59 GMT,0.066,171.1333673841,0x90303d442b668edfcbb568964fe832fecd384ee2,0x90303d442b668edfcbb568964fe832fecd384ee2,0x8e35985bf7838b9c702b8cb7654a4093f9634675db9a7957ec7473c002cf4d9d
12 Jan 2024 04:59:11 GMT,0.274,710.4627676249,0x91c9b6d6625e0558f81ea6554bf41ccf825971bc,0x91c9b6d6625e0558f81ea6554bf41ccf825971bc,0x72f2da503faeee2d0bd13455745b8f850565cfba6773661420d1094637b75f34
